time,P,I,D,ds,left speed,right speed
77,118860.000000,0.000386,0.000000,1660.000378,1660.000378,1660.000378
78,107890.000000,0.000393,0.000000,3380.000386,3380.000386,3380.000386
79,121710.000000,0.000401,0.000000,2800.000393,2800.000393,2800.000393
80,91890.000000,0.000407,0.000000,1620.000401,1620.000401,1620.000401
81,77020.000000,0.000412,0.000000,2650.000407,2650.000407,2650.000407
82,82340.000000,0.000418,0.000000,2560.000412,2560.000412,2560.000412
83,82190.000000,0.000423,0.000000,1200.000418,1200.000418,1200.000418
84,72030.000000,0.000428,0.000000,3900.000423,3900.000423,3900.000423
85,76080.000000,0.000433,0.000000,3310.000428,3310.000428,3310.000428
86,73150.000000,0.000438,0.000000,5690.000433,5690.000433,5690.000433
87,78550.000000,0.000443,0.000000,2960.000438,2960.000438,2960.000438
88,71070.000000,0.000448,0.000000,5320.000443,5320.000443,5320.000443
89,69860.000000,0.000453,0.000000,2310.000448,2310.000448,2310.000448
90,94070.000000,0.000459,0.000000,-359.999547,-359.999547,-359.999547
91,114360.000000,0.000466,0.000000,3050.000459,3050.000459,3050.000459
92,67370.000000,0.000471,0.000000,3920.000466,3920.000466,3920.000466
93,119950.000000,0.000479,0.000000,4330.000471,4330.000471,4330.000471
94,72400.000000,0.000483,0.000000,3050.000479,3050.000479,3050.000479
95,111450.000000,0.000491,0.000000,3620.000484,3620.000484,3620.000484
96,72590.000000,0.000496,0.000000,4170.000491,4170.000491,4170.000491
97,104050.000000,0.000503,0.000000,4130.000496,4130.000496,4130.000496
98,107470.000000,0.000510,0.000000,1180.000503,1180.000503,1180.000503
99,105450.000000,0.000517,0.000000,2860.000510,2860.000510,2860.000510
100,104250.000000,0.000523,0.000000,3550.000517,3550.000517,3550.000517
101,101360.000000,0.000530,0.000000,510.000523,510.000523,510.000523
102,106850.000000,0.000537,0.000000,5400.000530,5400.000530,5400.000530
103,117410.000000,0.000545,0.000000,3450.000537,3450.000537,3450.000537
104,75950.000000,0.000550,0.000000,4070.000545,4070.000545,4070.000545
105,70800.000000,0.000555,0.000000,1810.000550,1810.000550,1810.000550
106,101780.000000,0.000561,0.000000,2630.000555,2630.000555,2630.000555
107,108220.000000,0.000568,0.000000,2660.000561,2660.000561,2660.000561
108,103890.000000,0.000575,0.000000,5300.000569,5300.000569,5300.000569
109,109290.000000,0.000583,0.000000,3010.000576,3010.000576,3010.000576
110,98520.000000,0.000589,0.000000,3040.000583,3040.000583,3040.000583
111,111220.000000,0.000596,0.000000,920.000589,920.000589,920.000589
112,72660.000000,0.000601,0.000000,3100.000596,3100.000596,3100.000596
113,115860.000000,0.000609,0.000000,1380.000601,1380.000601,1380.000601
114,75050.000000,0.000613,0.000000,1470.000609,1470.000609,1470.000609
115,77270.000000,0.000619,0.000000,5320.000614,5320.000614,5320.000614
116,59010.000000,0.000623,0.000000,1830.000619,1830.000619,1830.000619
117,96220.000000,0.000629,0.000000,3300.000623,3300.000623,3300.000623
118,94500.000000,0.000635,0.000000,4030.000629,4030.000629,4030.000629
119,98800.000000,0.000642,0.000000,6540.000636,6540.000636,6540.000636
120,106020.000000,0.000649,0.000000,4530.000642,4530.000642,4530.000642
121,101550.000000,0.000656,0.000000,3230.000649,3230.000649,3230.000649
122,103610.000000,0.000663,0.000000,7500.000656,7500.000656,7500.000656
123,113130.000000,0.000670,0.000000,3880.000663,3880.000663,3880.000663
124,81530.000000,0.000676,0.000000,4620.000671,4620.000671,4620.000671
125,64950.000000,0.000680,0.000000,4280.000676,4280.000676,4280.000676
126,84060.000000,0.000686,0.000000,1850.000681,1850.000681,1850.000681
127,68480.000000,0.000690,0.000000,2260.000686,2260.000686,2260.000686
128,74840.000000,0.000695,0.000000,2580.000691,2580.000691,2580.000691
129,77700.000000,0.000701,0.000000,3860.000696,3860.000696,3860.000696
130,75750.000000,0.000706,0.000000,3040.000701,3040.000701,3040.000701
131,71250.000000,0.000710,0.000000,3800.000706,3800.000706,3800.000706
132,68030.000000,0.000715,0.000000,4020.000711,4020.000711,4020.000711
133,109040.000000,0.000722,0.000000,3490.000715,3490.000715,3490.000715
134,73400.000000,0.000727,0.000000,3650.000723,3650.000723,3650.000723
135,74960.000000,0.000732,0.000000,2960.000727,2960.000727,2960.000727
136,68710.000000,0.000737,0.000000,6440.000733,6440.000733,6440.000733
137,98070.000000,0.000744,0.000000,5090.000737,5090.000737,5090.000737
138,88200.000000,0.000749,0.000000,3820.000744,3820.000744,3820.000744
139,74080.000000,0.000754,0.000000,2650.000750,2650.000750,2650.000750
140,76790.000000,0.000759,0.000000,2530.000755,2530.000755,2530.000755
141,99140.000000,0.000766,0.000000,1730.000760,1730.000760,1730.000760
142,102320.000000,0.000773,0.000000,2430.000766,2430.000766,2430.000766
143,115050.000000,0.000780,0.000000,3450.000773,3450.000773,3450.000773
144,80370.000000,0.000786,0.000000,5540.000781,5540.000781,5540.000781
145,79520.000000,0.000791,0.000000,3540.000786,3540.000786,3540.000786
146,74100.000000,0.000796,0.000000,1070.000791,1070.000791,1070.000791
147,64730.000000,0.000800,0.000000,3310.000796,3310.000796,3310.000796
148,87690.000000,0.000806,0.000000,3700.000800,3700.000800,3700.000800
149,93300.000000,0.000812,0.000000,5960.000806,5960.000806,5960.000806
150,107060.000000,0.000820,0.000000,8530.000813,8530.000813,8530.000813
151,121290.000000,0.000828,0.000000,6730.000820,6730.000820,6730.000820
152,79740.000000,0.000834,0.000000,6320.000828,6320.000828,6320.000828
153,88540.000000,0.000840,0.000000,9100.000834,9100.000834,9100.000834
